DEAL_ID,COMPANY_ID_NUMERIC_DEAL_DATE_FACT,DEAL_STAGE_DATE,OPPORTUNITY_(DEAL),OPPORTUNITY_AMOUNT,BUSINESS_CASE_PROPOSAL,BUSINESS_CASE_PROPOSAL_AMOUNT,DEAL_STAGE_NEGOTIATION_DATE,NEGOTIATION,NEGOTIATION_AMOUNT,DEAL_STAGE_VERBAL_AGREEMENT_DATE,VERBAL_AGREEMENT,VERBAL_AGREEMENT_AMOUNT,DEAL_STAGE_CLOSED_LOST_DATE,CLOSED_LOST,CLOSED_LOST_AMOUNT,DEAL_ID_BOOKING_FACT,BOOKING,BOOKING_AMOUNT
108056950680,439916811,2021-06-30 00:00:00.000,,,,,2021-06-30 00:00:00.000,1,21437,,,,,,,,,
162725845980,1549852107,2021-08-03 00:00:00.000,,,,,2021-08-03 00:00:00.000,1,13285.333333333,,,,,,,,,
188013053400,1734474870,2021-10-13 00:00:00.000,,,,,2021-10-13 00:00:00.000,1,6050,,,,,,,,,
727240800,456325401,2016-04-19 00:00:00.000,,,,,2016-04-19 00:00:00.000,1,6388.888888889,,,,,,,,,
28846524120,2979302166,2019-09-16 00:00:00.000,,,,,2019-09-16 00:00:00.000,1,620,,,,,,,,,
25831134600,6902423790,2019-10-28 00:00:00.000,,,,,2019-10-28 00:00:00.000,1,620,,,,,,,,,
1511687460,531986964,2016-11-07 00:00:00.000,,,,,2016-11-07 00:00:00.000,1,1555.555555556,,,,,,,,,
10104293340,1822217757,2018-09-19 00:00:00.000,,,,,2018-09-19 00:00:00.000,1,620,,,,,,,,,
5665644720,1604980491,2017-11-09 00:00:00.000,,,,,2017-11-09 00:00:00.000,1,4444.444444444,,,,,,,,,
727234500,523228155,2016-03-22 00:00:00.000,,,,,2016-03-22 00:00:00.000,1,4444.444444444,,,,,,,,,
15442410990,1565029971,2019-02-27 00:00:00.000,,,,,2019-02-27 00:00:00.000,1,4888.888888889,,,,,,,,,
47004998370,2586937551,2020-02-28 00:00:00.000,,,,,2020-02-28 00:00:00.000,1,3333.333333333,,,,,,,,,
31989658260,5100519903,2020-01-28 00:00:00.000,,,,,2020-01-28 00:00:00.000,1,1777.777777778,,,,,,,,,
88547664630,12612061110,2020-09-28 00:00:00.000,,,,,2020-09-28 00:00:00.000,1,6035.555555556,,,,,,,,,
26182895550,1278058314,2019-10-24 00:00:00.000,,,,,2019-10-24 00:00:00.000,1,5111.111111111,,,,,,,,,
92390951580,13536417957,2020-10-14 00:00:00.000,,,,,2020-10-14 00:00:00.000,1,5277.777777778,,,,,,,,,
152508811290,12621850035,2021-05-20 00:00:00.000,,,,,2021-05-20 00:00:00.000,1,5377.777777778,,,,,,,,,
58246369650,1007904654,2020-09-11 00:00:00.000,,,,,2020-09-11 00:00:00.000,1,3333.333333333,,,,,,,,,
146327365500,17104321809,2021-06-17 00:00:00.000,,,,,2021-06-17 00:00:00.000,1,4400,,,,,,,,,
120374708250,3228128652,2021-03-12 00:00:00.000,,,,,2021-03-12 00:00:00.000,1,10260,,,,,,,,,
140318072850,16926546657,2021-03-19 00:00:00.000,,,,,2021-03-19 00:00:00.000,1,8555.555555556,,,,,,,,,
56403301080,8155953165,2020-05-15 00:00:00.000,,,,,2020-05-15 00:00:00.000,1,25966.666666667,,,,,,,,,
103490478780,5758481457,2020-12-14 00:00:00.000,,,,,2020-12-14 00:00:00.000,1,5786.922666667,,,,,,,,,
26385365100,6226491045,2019-08-05 00:00:00.000,,,,,2019-08-05 00:00:00.000,1,620,,,,,,,,,
37596278010,7982220936,2019-12-17 00:00:00.000,,,,,2019-12-17 00:00:00.000,1,2222.222222222,,,,,,,,,
88061987130,5237542698,2020-10-14 00:00:00.000,,,,,2020-10-14 00:00:00.000,1,6438.888888889,,,,,,,,,
25816530210,3525720807,2019-10-03 00:00:00.000,,,,,2019-10-03 00:00:00.000,1,3333.333333333,,,,,,,,,
49115074620,6307177692,2020-09-29 00:00:00.000,,,,,2020-09-29 00:00:00.000,1,3422.222222222,,,,,,,,,
1303219020,754269279,2016-11-03 00:00:00.000,,,,,2016-11-03 00:00:00.000,1,1555.555555556,,,,,,,,,
156923406810,13340326614,2021-05-17 00:00:00.000,,,,,2021-05-17 00:00:00.000,1,10000,,,,,,,,,
105159070800,13298071323,2021-02-15 00:00:00.000,,,,,2021-02-15 00:00:00.000,1,3990,,,,,,,,,
12836358060,527490540,2021-07-06 00:00:00.000,,,,,2021-07-06 00:00:00.000,1,16057.38,,,,,,,,,
32217126480,1307476662,2019-12-12 00:00:00.000,,,,,2019-12-12 00:00:00.000,1,11555.555555556,2019-12-12 00:00:00.000,1,12235.294117647,,,,,,
138511585350,490376172,2021-04-01 00:00:00.000,,,,,2021-04-01 00:00:00.000,1,4000,,,,,,,,,
163538014200,16579608732,2021-06-23 00:00:00.000,,,,,2021-06-23 00:00:00.000,1,8188.888888889,,,,,,,,,
145992262500,7597772214,2021-04-28 00:00:00.000,,,,,2021-04-28 00:00:00.000,1,4029.38,,,,,,,,,
14657235510,3534779163,2020-01-17 00:00:00.000,,,,,,,,2020-01-17 00:00:00.000,1,4000,,,,,,
33234507540,7938122079,2020-02-05 00:00:00.000,,,,,,,,2020-02-05 00:00:00.000,1,6588.235294118,,,,,,
14339682450,812645841,2019-01-19 00:00:00.000,,,,,,,,2019-01-19 00:00:00.000,1,6458.823529412,,,,,,
55851325890,1294372920,2020-05-29 00:00:00.000,,,,,,,,2020-05-29 00:00:00.000,1,3529.411764706,,,,,,
32524397910,6211968975,2019-10-03 00:00:00.000,,,,,,,,2019-10-03 00:00:00.000,1,8705.882352941,,,,,,
13018038930,478490211,2019-11-30 00:00:00.000,,,,,,,,2019-11-30 00:00:00.000,1,3952.941176471,,,,,,
12744621810,510938523,2019-03-27 00:00:00.000,,,,,,,,2019-03-27 00:00:00.000,1,4423.529411765,,,,,,
108895253340,12706185432,2021-01-12 00:00:00.000,,,,,,,,2021-01-12 00:00:00.000,1,7403.856941176,,,,,,
32828084040,2373358521,2019-11-20 00:00:00.000,,,,,,,,2019-11-20 00:00:00.000,1,7058.823529412,,,,,,
30202836630,3480952167,2019-05-12 00:00:00.000,,,,,,,,2019-05-12 00:00:00.000,1,3317.647058824,,,,,,
70947876000,12110485191,2020-07-14 00:00:00.000,,,,,,,,2020-07-14 00:00:00.000,1,5341.176470588,,,,,,
45616441110,8208875376,2020-05-12 00:00:00.000,,,,,,,,2020-05-12 00:00:00.000,1,8000,,,,,,
24427874730,5206674075,2019-11-18 00:00:00.000,,,,,,,,2019-11-18 00:00:00.000,1,7529.411764706,,,,,,
44993007150,6249233622,2020-02-07 00:00:00.000,,,,,,,,2020-02-07 00:00:00.000,1,6823.529411765,,,,,,
11064132960,2827939134,2019-08-31 00:00:00.000,,,,,,,,2019-08-31 00:00:00.000,1,4917.647058824,,,,,,
30219965850,2187001596,2019-10-21 00:00:00.000,,,,,,,,2019-10-21 00:00:00.000,1,4941.176470588,,,,,,
30328199430,7202418291,2019-12-19 00:00:00.000,,,,,,,,2019-12-19 00:00:00.000,1,9082.352941176,,,,,,
73329346920,3763420281,2020-07-17 00:00:00.000,,,,,,,,2020-07-17 00:00:00.000,1,5882.352941176,,,,,,
90600624780,2773857822,2020-10-23 00:00:00.000,,,,,,,,2020-10-23 00:00:00.000,1,9058.823529412,,,,,,
37471033530,855873957,2020-01-31 00:00:00.000,,,,,,,,2020-01-31 00:00:00.000,1,6823.529411765,,,,,,
13006638420,3316361205,2019-11-22 00:00:00.000,,,,,,,,2019-11-22 00:00:00.000,1,4470.588235294,,,,,,
38898237960,1839641880,2020-02-28 00:00:00.000,,,,,,,,2020-02-28 00:00:00.000,1,8800,,,,,,
13099004850,3132744006,2018-12-12 00:00:00.000,,,,,,,,2018-12-12 00:00:00.000,1,9435.294117647,,,,,,
5190874110,1484541645,2018-02-26 00:00:00.000,,,,,2018-02-26 00:00:00.000,1,4444.444444444,,,,,,,,,
97758506160,3868134288,2020-11-13 00:00:00.000,,,,,2020-11-13 00:00:00.000,1,10577.777777778,2020-11-13 00:00:00.000,1,11200,,,,,,
144850987500,3187507308,2021-04-29 00:00:00.000,,,,,2021-04-29 00:00:00.000,1,6600,,,,,,,,,
6235481580,449438781,2018-01-02 00:00:00.000,,,,,2018-01-02 00:00:00.000,1,4268.888888889,,,,,,,,,
122127673110,4132424175,2021-03-29 00:00:00.000,,,,,2021-03-29 00:00:00.000,1,2688.888888889,,,,,,,,,
170279905590,18616344921,2021-10-07 00:00:00.000,,,,,2021-10-07 00:00:00.000,1,3241.481481481,,,,,,,,,
137227992660,13347651231,2021-09-30 00:00:00.000,,,,,2021-09-30 00:00:00.000,1,4888.888888889,,,,,,,,,
172586590410,14907622398,2021-08-19 00:00:00.000,,,,,2021-08-19 00:00:00.000,1,7440,,,,,,,,,
159542570430,5316650508,2021-06-15 00:00:00.000,,,,,2021-06-15 00:00:00.000,1,11866.666666667,,,,,,,,,
17280046680,6318804480,2019-06-19 00:00:00.000,,,,,,,,2019-06-19 00:00:00.000,1,5560,,,,,,
8964652470,1427916795,2019-03-30 00:00:00.000,,,,,,,,2019-03-30 00:00:00.000,1,4000,,,,,,
26066871510,6019850841,2019-07-31 00:00:00.000,,,,,,,,2019-07-31 00:00:00.000,1,3018.823529412,,,,,,
9431953200,2357574510,2020-01-07 00:00:00.000,,,,,,,,2020-01-07 00:00:00.000,1,5647.058823529,,,,,,
47909624220,8034433869,2020-02-28 00:00:00.000,,,,,,,,2020-02-28 00:00:00.000,1,6823.529411765,,,,,,
59074839150,11490437154,2020-05-18 00:00:00.000,,,,,,,,2020-05-18 00:00:00.000,1,1529.411764706,,,,,,
66300880980,1771686984,2020-06-11 00:00:00.000,,,,,,,,2020-06-11 00:00:00.000,1,4235.294117647,,,,,,
47252777160,3241167438,2020-03-18 00:00:00.000,,,,,,,,2020-03-18 00:00:00.000,1,2352.941176471,,,,,,
33287049750,3480628290,2019-10-24 00:00:00.000,,,,,,,,2019-10-24 00:00:00.000,1,5451.764705882,,,,,,
126333062070,15835425747,2021-02-24 00:00:00.000,,,,,,,,2021-02-24 00:00:00.000,1,4495.595294118,,,,,,
43784050680,8468746359,2020-03-05 00:00:00.000,,,,,,,,2020-03-05 00:00:00.000,1,6117.647058824,,,,,,
40227947460,1310290227,2019-12-26 00:00:00.000,,,,,,,,2019-12-26 00:00:00.000,1,2705.882352941,,,,,,
12902161530,3208525989,2019-03-25 00:00:00.000,,,,,,,,2019-03-25 00:00:00.000,1,5317.647058824,,,,,,
19820299650,5316690318,2019-04-05 00:00:00.000,,,,,,,,2019-04-05 00:00:00.000,1,3529.411764706,,,,,,
9225465870,2494099974,2019-03-29 00:00:00.000,,,,,,,,2019-03-29 00:00:00.000,1,8529.411764706,,,,,,
24987109470,1397158179,2019-05-14 00:00:00.000,,,,,,,,2019-05-14 00:00:00.000,1,4705.882352941,,,,,,
43250586420,8564764800,2020-01-29 00:00:00.000,,,,,,,,2020-01-29 00:00:00.000,1,5941.176470588,,,,,,
10745244750,584920641,2020-01-01 00:00:00.000,,,,,,,,2020-01-01 00:00:00.000,1,9176.470588235,,,,,,
28950623760,6993528762,2019-10-01 00:00:00.000,,,,,,,,2019-10-01 00:00:00.000,1,5117.647058824,,,,,,
22338040920,1888645482,2019-04-15 00:00:00.000,,,,,,,,2019-04-15 00:00:00.000,1,3811.764705882,,,,,,
26510367090,5442704136,2019-07-30 00:00:00.000,,,,,,,,2019-07-30 00:00:00.000,1,4705.882352941,,,,,,
41489259000,5497646847,2020-02-14 00:00:00.000,,,,,,,,2020-02-14 00:00:00.000,1,2823.529411765,,,,,,
59688865980,10223186304,2020-05-29 00:00:00.000,,,,,,,,2020-05-29 00:00:00.000,1,4917.647058824,,,,,,
31911210270,7319832885,2019-11-21 00:00:00.000,,,,,,,,2019-11-21 00:00:00.000,1,1764.705882353,,,,,,
25779973140,1488862647,2020-02-25 00:00:00.000,,,,,,,,2020-02-25 00:00:00.000,1,7482.352941176,,,,,,
100785407310,6237928776,2020-11-18 00:00:00.000,,,,,,,,2020-11-18 00:00:00.000,1,5058.823529412,,,,,,
7934479380,2110609986,2018-04-12 00:00:00.000,,,,,,,,2018-04-12 00:00:00.000,1,11764.705882353,,,,,,
1836388470,924524001,2019-02-26 00:00:00.000,,,,,,,,2019-02-26 00:00:00.000,1,2972.188235294,,,,,,
120331377210,1231711161,2021-01-21 00:00:00.000,,,,,,,,2021-01-21 00:00:00.000,1,4705.882352941,,,,,,
58656167340,4229071050,2020-08-28 00:00:00.000,,,,,,,,2020-08-28 00:00:00.000,1,10100,,,,,,
71892702630,12364176396,2020-09-29 00:00:00.000,,,,,,,,2020-09-29 00:00:00.000,1,4235.294117647,,,,,,
23819181840,2570041764,2019-06-18 00:00:00.000,,,,,,,,2019-06-18 00:00:00.000,1,3529.411764706,,,,,,
11974142880,3160740648,2019-02-26 00:00:00.000,,,,,,,,2019-02-26 00:00:00.000,1,4705.882352941,,,,,,
17647275600,2227518117,2019-03-22 00:00:00.000,,,,,,,,2019-03-22 00:00:00.000,1,4941.176470588,,,,,,
993158460,621100347,2019-01-24 00:00:00.000,,,,,,,,2019-01-24 00:00:00.000,1,5562.352941176,,,,,,
14135174160,1675613958,2019-06-18 00:00:00.000,,,,,,,,2019-06-18 00:00:00.000,1,4705.882352941,,,,,,
26239374450,6562957134,2020-01-14 00:00:00.000,,,,,,,,2020-01-14 00:00:00.000,1,8000,,,,,,
11976800880,3160791132,2019-03-06 00:00:00.000,,,,,,,,2019-03-06 00:00:00.000,1,7529.411764706,,,,,,
30192104670,7086918099,2019-09-12 00:00:00.000,,,,,,,,2019-09-12 00:00:00.000,1,3764.705882353,,,,,,
45828853860,2525405091,2020-05-20 00:00:00.000,,,,,,,,2020-05-20 00:00:00.000,1,10760.470588235,,,,,,
10104323280,2667579345,2019-03-28 00:00:00.000,,,,,,,,2019-03-28 00:00:00.000,1,9282.352941176,,,,,,
43794709320,3526686051,2020-06-23 00:00:00.000,,,,,,,,2020-06-23 00:00:00.000,1,5882.352941176,,,,,,
34013435850,1839307902,2019-12-31 00:00:00.000,,,,,,,,2019-12-31 00:00:00.000,1,7235.294117647,,,,,,
85640814330,7335558993,2020-08-31 00:00:00.000,,,,,,,,2020-08-31 00:00:00.000,1,4200,,,,,,
85617650040,411690078,2020-12-08 00:00:00.000,,,,,,,,2020-12-08 00:00:00.000,1,4000,,,,,,
11670594360,3049530492,2019-04-29 00:00:00.000,,,,,,,,2019-04-29 00:00:00.000,1,8677.647058824,,,,,,
7650862860,818380227,2019-04-22 00:00:00.000,,,,,,,,2019-04-22 00:00:00.000,1,8352.941176471,,,,,,
35833252170,2015324649,2019-11-30 00:00:00.000,,,,,,,,2019-11-30 00:00:00.000,1,3811.764705882,,,,,,
11895149520,2502961884,2019-01-10 00:00:00.000,,,,,,,,2019-01-10 00:00:00.000,1,6470.588235294,,,,,,
12386495730,6115461456,2019-02-24 00:00:00.000,,,,,,,,2019-02-24 00:00:00.000,1,4028.235294118,,,,,,
27203483310,487642338,2019-08-27 00:00:00.000,,,,,,,,2019-08-27 00:00:00.000,1,5741.176470588,,,,,,
30776284080,2748126486,2019-12-01 00:00:00.000,,,,,,,,2019-12-01 00:00:00.000,1,6823.529411765,,,,,,
10145464410,1690830804,2019-01-17 00:00:00.000,,,,,,,,2019-01-17 00:00:00.000,1,5927.058823529,,,,,,
20122678920,5386903716,2019-05-10 00:00:00.000,,,,,,,,2019-05-10 00:00:00.000,1,6352.941176471,,,,,,
58419010770,9996432348,2020-05-14 00:00:00.000,,,,,,,,2020-05-14 00:00:00.000,1,4941.176470588,,,,,,
179829006300,6019850841,2021-08-26 00:00:00.000,,,,,,,,2021-08-26 00:00:00.000,1,3128.823529412,,,,,,
70580531160,5399010543,2020-07-02 00:00:00.000,,,,,,,,2020-07-02 00:00:00.000,1,4411.764705882,,,,,,
119833200270,15285568029,2021-02-08 00:00:00.000,,,,,,,,2021-02-08 00:00:00.000,1,4180,,,,,,
26556854910,5089902210,2019-12-05 00:00:00.000,,,,,,,,2019-12-05 00:00:00.000,1,8870.588235294,,,,,,
18518851530,3294368775,2019-04-11 00:00:00.000,,,,,,,,2019-04-11 00:00:00.000,1,2941.176470588,,,,,,
8337394110,582412602,2020-03-09 00:00:00.000,,,,,,,,2020-03-09 00:00:00.000,1,7529.411764706,,,,,,
11673155220,2445195855,2019-05-15 00:00:00.000,,,,,,,,2019-05-15 00:00:00.000,1,6705.882352941,,,,,,
32334526050,7376842515,2020-04-28 00:00:00.000,,,,,,,,2020-04-28 00:00:00.000,1,8305.882352941,,,,,,
32730081540,7455670128,2019-11-18 00:00:00.000,,,,,,,,2019-11-18 00:00:00.000,1,6352.941176471,,,,,,
120788183580,948486900,2021-02-22 00:00:00.000,,,,,,,,2021-02-22 00:00:00.000,1,3885.082352941,,,,,,
36153705240,1557866817,2020-05-20 00:00:00.000,,,,,,,,2020-05-20 00:00:00.000,1,6776.470588235,,,,,,
27509263200,6728953581,2019-09-12 00:00:00.000,,,,,,,,2019-09-12 00:00:00.000,1,6588.235294118,,,,,,
20701898790,409099488,2019-05-15 00:00:00.000,,,,,,,,2019-05-15 00:00:00.000,1,19647.058823529,,,,,,
9553732140,2562025269,2019-04-10 00:00:00.000,,,,,,,,2019-04-10 00:00:00.000,1,2470.588235294,,,,,,
96594238350,13672407096,2021-01-28 00:00:00.000,,,,,,,,2021-01-28 00:00:00.000,1,4823.529411765,,,,,,
43653193470,8389275258,2020-02-05 00:00:00.000,,,,,,,,2020-02-05 00:00:00.000,1,8823.529411765,,,,,,
107822310480,6617189178,2021-01-26 00:00:00.000,,,,,,,,2021-01-26 00:00:00.000,1,5189.36,,,,,,
140297336130,1958229840,2021-04-19 00:00:00.000,,,,,,,,2021-04-19 00:00:00.000,1,3112.2,,,,,,
85824960720,2464063353,2020-11-11 00:00:00.000,,,,,,,,2020-11-11 00:00:00.000,1,10588.235294118,,,,,,
49415410770,5627973519,2020-05-29 00:00:00.000,,,,,,,,2020-05-29 00:00:00.000,1,6665.223529412,,,,,,
7394678340,1279401291,2019-08-14 00:00:00.000,,,,,,,,2019-08-14 00:00:00.000,1,26470.588235294,,,,,,
11673129810,738141936,2019-05-17 00:00:00.000,,,,,,,,2019-05-17 00:00:00.000,1,9477.647058824,,,,,,
36506880720,2568528324,2019-12-19 00:00:00.000,,,,,,,,2019-12-19 00:00:00.000,1,2588.235294118,,,,,,
44148128070,937842684,2020-04-20 00:00:00.000,,,,,,,,2020-04-20 00:00:00.000,1,5400,,,,,,
18741413070,2225104680,2019-11-12 00:00:00.000,,,,,,,,2019-11-12 00:00:00.000,1,7952.941176471,,,,,,
27523965120,1839812757,2020-01-06 00:00:00.000,,,,,,,,2020-01-06 00:00:00.000,1,5552.941176471,,,,,,
20927364840,480670383,2020-02-03 00:00:00.000,,,,,,,,2020-02-03 00:00:00.000,1,8941.176470588,,,,,,
