ACCOUNT_ID,MONTH,MRR
fb5adbef2fe92c93256b16a96b7658800111cc3881d60d32e2dc153bdb89ce80,2022-08-01,620
fb5adbef2fe92c93256b16a96b7658800111cc3881d60d32e2dc153bdb89ce80,2022-07-01,620
fb5adbef2fe92c93256b16a96b7658800111cc3881d60d32e2dc153bdb89ce80,2022-11-01,620
fb5adbef2fe92c93256b16a96b7658800111cc3881d60d32e2dc153bdb89ce80,2022-05-01,620
fb5adbef2fe92c93256b16a96b7658800111cc3881d60d32e2dc153bdb89ce80,2020-12-01,620
fb5adbef2fe92c93256b16a96b7658800111cc3881d60d32e2dc153bdb89ce80,2022-06-01,620
fb5adbef2fe92c93256b16a96b7658800111cc3881d60d32e2dc153bdb89ce80,2023-12-01,620
fb5adbef2fe92c93256b16a96b7658800111cc3881d60d32e2dc153bdb89ce80,2023-11-01,620
fb5adbef2fe92c93256b16a96b7658800111cc3881d60d32e2dc153bdb89ce80,2023-01-01,620
fb5adbef2fe92c93256b16a96b7658800111cc3881d60d32e2dc153bdb89ce80,2022-12-01,620
fb5adbef2fe92c93256b16a96b7658800111cc3881d60d32e2dc153bdb89ce80,2021-05-01,620
fb5adbef2fe92c93256b16a96b7658800111cc3881d60d32e2dc153bdb89ce80,2021-04-01,620
fb5adbef2fe92c93256b16a96b7658800111cc3881d60d32e2dc153bdb89ce80,2021-11-01,620
fb5adbef2fe92c93256b16a96b7658800111cc3881d60d32e2dc153bdb89ce80,2023-05-01,620
fb5adbef2fe92c93256b16a96b7658800111cc3881d60d32e2dc153bdb89ce80,2021-01-01,620
fb5adbef2fe92c93256b16a96b7658800111cc3881d60d32e2dc153bdb89ce80,2023-10-01,620
fb5adbef2fe92c93256b16a96b7658800111cc3881d60d32e2dc153bdb89ce80,2023-06-01,620
fb5adbef2fe92c93256b16a96b7658800111cc3881d60d32e2dc153bdb89ce80,2022-10-01,620
fb5adbef2fe92c93256b16a96b7658800111cc3881d60d32e2dc153bdb89ce80,2021-10-01,620
fb5adbef2fe92c93256b16a96b7658800111cc3881d60d32e2dc153bdb89ce80,2021-08-01,620
fb5adbef2fe92c93256b16a96b7658800111cc3881d60d32e2dc153bdb89ce80,2021-07-01,620
fb5adbef2fe92c93256b16a96b7658800111cc3881d60d32e2dc153bdb89ce80,2023-02-01,620
fb5adbef2fe92c93256b16a96b7658800111cc3881d60d32e2dc153bdb89ce80,2023-09-01,620
fb5adbef2fe92c93256b16a96b7658800111cc3881d60d32e2dc153bdb89ce80,2023-03-01,620
fb5adbef2fe92c93256b16a96b7658800111cc3881d60d32e2dc153bdb89ce80,2021-02-01,620
fb5adbef2fe92c93256b16a96b7658800111cc3881d60d32e2dc153bdb89ce80,2023-07-01,620
fb5adbef2fe92c93256b16a96b7658800111cc3881d60d32e2dc153bdb89ce80,2022-09-01,620
fb5adbef2fe92c93256b16a96b7658800111cc3881d60d32e2dc153bdb89ce80,2022-02-01,620
fb5adbef2fe92c93256b16a96b7658800111cc3881d60d32e2dc153bdb89ce80,2022-01-01,620
f0e1f305f6d466360bc05127655ad953dccf6f72d90f3a166e0c73ba2e66fec7,2023-12-01,711.960784314
f0e1f305f6d466360bc05127655ad953dccf6f72d90f3a166e0c73ba2e66fec7,2023-05-01,711.960784314
f0e1f305f6d466360bc05127655ad953dccf6f72d90f3a166e0c73ba2e66fec7,2023-02-01,711.960784314
f0e1f305f6d466360bc05127655ad953dccf6f72d90f3a166e0c73ba2e66fec7,2022-08-01,711.960784314
f0e1f305f6d466360bc05127655ad953dccf6f72d90f3a166e0c73ba2e66fec7,2022-04-01,711.960784314
f0e1f305f6d466360bc05127655ad953dccf6f72d90f3a166e0c73ba2e66fec7,2021-09-01,711.960784314
f0e1f305f6d466360bc05127655ad953dccf6f72d90f3a166e0c73ba2e66fec7,2023-03-01,711.960784314
f0e1f305f6d466360bc05127655ad953dccf6f72d90f3a166e0c73ba2e66fec7,2022-12-01,711.960784314
f0e1f305f6d466360bc05127655ad953dccf6f72d90f3a166e0c73ba2e66fec7,2022-07-01,711.960784314
f0e1f305f6d466360bc05127655ad953dccf6f72d90f3a166e0c73ba2e66fec7,2022-05-01,711.960784314
f0e1f305f6d466360bc05127655ad953dccf6f72d90f3a166e0c73ba2e66fec7,2021-11-01,711.960784314
f0e1f305f6d466360bc05127655ad953dccf6f72d90f3a166e0c73ba2e66fec7,2022-02-01,711.960784314
f0e1f305f6d466360bc05127655ad953dccf6f72d90f3a166e0c73ba2e66fec7,2022-10-01,711.960784314
f0e1f305f6d466360bc05127655ad953dccf6f72d90f3a166e0c73ba2e66fec7,2020-09-01,617.647058824
f0e1f305f6d466360bc05127655ad953dccf6f72d90f3a166e0c73ba2e66fec7,2020-05-01,617.647058824
f0e1f305f6d466360bc05127655ad953dccf6f72d90f3a166e0c73ba2e66fec7,2021-01-01,617.647058824
f0e1f305f6d466360bc05127655ad953dccf6f72d90f3a166e0c73ba2e66fec7,2020-07-01,617.647058824
f0e1f305f6d466360bc05127655ad953dccf6f72d90f3a166e0c73ba2e66fec7,2018-12-01,450.980392157
f0e1f305f6d466360bc05127655ad953dccf6f72d90f3a166e0c73ba2e66fec7,2019-02-01,450.980392157
f0e1f305f6d466360bc05127655ad953dccf6f72d90f3a166e0c73ba2e66fec7,2018-05-01,450.980392157
f0e1f305f6d466360bc05127655ad953dccf6f72d90f3a166e0c73ba2e66fec7,2018-11-01,450.980392157
f0e1f305f6d466360bc05127655ad953dccf6f72d90f3a166e0c73ba2e66fec7,2020-03-01,450.980392157
e54da430ec3949cdfa0a6cd31d9270b778a83d50d7a7bf6126ee26fdd47f4291,2018-07-01,352.941176471
e54da430ec3949cdfa0a6cd31d9270b778a83d50d7a7bf6126ee26fdd47f4291,2018-08-01,352.941176471
e54da430ec3949cdfa0a6cd31d9270b778a83d50d7a7bf6126ee26fdd47f4291,2018-11-01,352.941176471
e54da430ec3949cdfa0a6cd31d9270b778a83d50d7a7bf6126ee26fdd47f4291,2019-02-01,352.941176471
e54da430ec3949cdfa0a6cd31d9270b778a83d50d7a7bf6126ee26fdd47f4291,2019-01-01,352.941176471
e54da430ec3949cdfa0a6cd31d9270b778a83d50d7a7bf6126ee26fdd47f4291,2021-03-01,0
e54da430ec3949cdfa0a6cd31d9270b778a83d50d7a7bf6126ee26fdd47f4291,2020-11-01,0
e54da430ec3949cdfa0a6cd31d9270b778a83d50d7a7bf6126ee26fdd47f4291,2022-11-01,0
e54da430ec3949cdfa0a6cd31d9270b778a83d50d7a7bf6126ee26fdd47f4291,2023-09-01,0
e54da430ec3949cdfa0a6cd31d9270b778a83d50d7a7bf6126ee26fdd47f4291,2020-04-01,0
e54da430ec3949cdfa0a6cd31d9270b778a83d50d7a7bf6126ee26fdd47f4291,2020-01-01,0
fb5adbef2fe92c93256b16a96b7658800111cc3881d60d32e2dc153bdb89ce80,2023-04-01,620
fb5adbef2fe92c93256b16a96b7658800111cc3881d60d32e2dc153bdb89ce80,2021-12-01,620
fb5adbef2fe92c93256b16a96b7658800111cc3881d60d32e2dc153bdb89ce80,2020-11-01,620
fb5adbef2fe92c93256b16a96b7658800111cc3881d60d32e2dc153bdb89ce80,2022-04-01,620
fb5adbef2fe92c93256b16a96b7658800111cc3881d60d32e2dc153bdb89ce80,2022-03-01,620
fb5adbef2fe92c93256b16a96b7658800111cc3881d60d32e2dc153bdb89ce80,2021-06-01,620
fb5adbef2fe92c93256b16a96b7658800111cc3881d60d32e2dc153bdb89ce80,2023-08-01,620
fb5adbef2fe92c93256b16a96b7658800111cc3881d60d32e2dc153bdb89ce80,2021-09-01,620
f0e1f305f6d466360bc05127655ad953dccf6f72d90f3a166e0c73ba2e66fec7,2023-10-01,711.960784314
f0e1f305f6d466360bc05127655ad953dccf6f72d90f3a166e0c73ba2e66fec7,2021-12-01,711.960784314
f0e1f305f6d466360bc05127655ad953dccf6f72d90f3a166e0c73ba2e66fec7,2022-09-01,711.960784314
f0e1f305f6d466360bc05127655ad953dccf6f72d90f3a166e0c73ba2e66fec7,2023-06-01,711.960784314
f0e1f305f6d466360bc05127655ad953dccf6f72d90f3a166e0c73ba2e66fec7,2022-06-01,711.960784314
f0e1f305f6d466360bc05127655ad953dccf6f72d90f3a166e0c73ba2e66fec7,2023-07-01,711.960784314
f0e1f305f6d466360bc05127655ad953dccf6f72d90f3a166e0c73ba2e66fec7,2021-10-01,711.960784314
f0e1f305f6d466360bc05127655ad953dccf6f72d90f3a166e0c73ba2e66fec7,2021-07-01,711.960784314
f0e1f305f6d466360bc05127655ad953dccf6f72d90f3a166e0c73ba2e66fec7,2023-08-01,711.960784314
f0e1f305f6d466360bc05127655ad953dccf6f72d90f3a166e0c73ba2e66fec7,2023-11-01,711.960784314
f0e1f305f6d466360bc05127655ad953dccf6f72d90f3a166e0c73ba2e66fec7,2023-09-01,711.960784314
f0e1f305f6d466360bc05127655ad953dccf6f72d90f3a166e0c73ba2e66fec7,2023-04-01,711.960784314
f0e1f305f6d466360bc05127655ad953dccf6f72d90f3a166e0c73ba2e66fec7,2023-01-01,711.960784314
f0e1f305f6d466360bc05127655ad953dccf6f72d90f3a166e0c73ba2e66fec7,2022-11-01,711.960784314
f0e1f305f6d466360bc05127655ad953dccf6f72d90f3a166e0c73ba2e66fec7,2022-01-01,711.960784314
f0e1f305f6d466360bc05127655ad953dccf6f72d90f3a166e0c73ba2e66fec7,2021-03-01,617.647058824
f0e1f305f6d466360bc05127655ad953dccf6f72d90f3a166e0c73ba2e66fec7,2021-02-01,617.647058824
f0e1f305f6d466360bc05127655ad953dccf6f72d90f3a166e0c73ba2e66fec7,2020-10-01,617.647058824
f0e1f305f6d466360bc05127655ad953dccf6f72d90f3a166e0c73ba2e66fec7,2021-04-01,617.647058824
f0e1f305f6d466360bc05127655ad953dccf6f72d90f3a166e0c73ba2e66fec7,2020-08-01,617.647058824
f0e1f305f6d466360bc05127655ad953dccf6f72d90f3a166e0c73ba2e66fec7,2019-09-01,450.980392157
f0e1f305f6d466360bc05127655ad953dccf6f72d90f3a166e0c73ba2e66fec7,2018-08-01,450.980392157
f0e1f305f6d466360bc05127655ad953dccf6f72d90f3a166e0c73ba2e66fec7,2019-01-01,450.980392157
f0e1f305f6d466360bc05127655ad953dccf6f72d90f3a166e0c73ba2e66fec7,2019-03-01,450.980392157
f0e1f305f6d466360bc05127655ad953dccf6f72d90f3a166e0c73ba2e66fec7,2019-05-01,450.980392157
f0e1f305f6d466360bc05127655ad953dccf6f72d90f3a166e0c73ba2e66fec7,2019-10-01,450.980392157
f0e1f305f6d466360bc05127655ad953dccf6f72d90f3a166e0c73ba2e66fec7,2018-07-01,450.980392157
f0e1f305f6d466360bc05127655ad953dccf6f72d90f3a166e0c73ba2e66fec7,2018-09-01,450.980392157
f0e1f305f6d466360bc05127655ad953dccf6f72d90f3a166e0c73ba2e66fec7,2018-10-01,450.980392157
